,name,AP,P@1,P@5,P@10,R@5,R@10,nDCG@5,nDCG@10
0,BM25 Baseline,0.558833,0.52,0.128,0.064,0.64,0.64,0.578709,0.578709
1,TF-IDF Baseline,0.562333,0.52,0.126,0.063,0.63,0.63,0.579284,0.579284
2,BM25 + HistQE 1800,0.544,0.5,0.122,0.061,0.61,0.61,0.560593,0.560593
3,BM25 + HistQE 1810,0.539,0.51,0.118,0.059,0.59,0.59,0.551665,0.551665
4,BM25 + HistQE 1820,0.523,0.48,0.12,0.06,0.6,0.6,0.542021,0.542021
5,BM25 + HistQE 1830,0.530667,0.49,0.122,0.061,0.61,0.61,0.550278,0.550278
6,BM25 + HistQE 1840,0.530333,0.5,0.114,0.057,0.57,0.57,0.540415,0.540415
7,BM25 + HistQE 1850,0.537333,0.5,0.118,0.059,0.59,0.59,0.550593,0.550593
8,BM25 + HistQE 1860,0.547833,0.5,0.124,0.062,0.62,0.62,0.566031,0.566031
9,BM25 + HistQE 1870,0.527833,0.49,0.12,0.06,0.6,0.6,0.545717,0.545717
10,BM25 + HistQE 1880,0.5315,0.49,0.12,0.06,0.6,0.6,0.54859,0.54859
11,BM25 + HistQE 1890,0.548167,0.52,0.12,0.06,0.6,0.6,0.560972,0.560972
12,BM25 + HistQE 1900,0.560167,0.52,0.126,0.063,0.63,0.63,0.577459,0.577459
